Cafe Name,Location,Open,Close,Coffee,Wifi,Price
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕️☕️☕️,💪💪,＄＄
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕️☕️☕️☕️,💪💪💪,＄
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕️☕️☕️,✘,＄＄
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕️☕️,💪💪💪,＄＄＄
Keijometo,https://goo.gl/maps/oR83epNZG1MgiPsz9,11am,7pm,☕️☕️,💪,＄＄＄
